0.405	3.100	0	1	-0.02	6.20
0.667	3.173	1	0	10.38	-0.02
0.269	3.029	1	1	9.13	22.64
0.927	3.105	0	1	-0.10	16.55
0.890	3.135	1	1	8.41	0.61
0.276	3.105	1	0	9.09	-0.02
0.535	3.089	1	0	23.04	0.09
0.346	3.117	1	0	3.78	0.10
0.398	3.098	0	0	-0.06	0.48
0.217	3.073	1	0	0.90	-0.06
0.380	3.142	1	0	25.53	0.05
0.384	3.123	0	1	-0.06	17.32
0.427	3.084	1	1	17.82	1.34
0.846	3.110	0	1	-0.02	22.97
0.416	3.119	0	0	0.05	0.05
0.500	3.004	0	1	0.02	4.50
0.310	3.090	0	0	-0.06	0.05
0.292	3.062	0	1	-0.02	9.78
0.245	3.142	1	0	4.27	0.06
0.517	3.096	0	1	-0.05	2.98
0.292	3.042	0	0	-0.06	0.14
0.670	3.094	0	0	-0.06	0.08
0.825	3.182	0	0	0.10	-0.04
0.616	3.109	0	1	-0.14	2.66
0.272	3.074	0	1	0.02	29.03
0.240	3.128	0	0	-0.09	-0.00
0.215	3.120	0	1	-0.17	5.38
0.515	3.078	1	0	7.58	0.07
0.543	3.081	0	1	-0.06	4.68
0.326	3.091	1	0	7.15	0.06
0.201	3.100	1	0	4.12	-0.05
0.265	3.121	0	0	-0.06	0.00
0.259	3.073	0	0	-0.10	-0.18
0.739	3.094	0	1	-0.04	5.69
0.581	3.113	1	0	1.11	-0.05
0.436	3.128	1	0	1.11	0.04
0.495	3.015	1	0	2.53	-0.32
0.272	3.135	1	0	0.95	0.04
0.423	3.104	1	0	0.72	0.18
0.824	3.057	0	0	0.03	-0.18
0.396	3.084	1	0	7.44	-0.06
0.666	3.137	1	0	0.88	-0.12
0.304	3.084	0	0	0.06	-0.17
0.369	3.120	0	1	-0.14	6.60
0.303	3.120	0	1	-0.06	20.73
0.494	3.003	0	1	-0.01	1.31
0.875	3.096	0	1	0.03	26.03
0.259	3.121	0	1	0.07	4.91
0.724	3.109	1	0	18.75	-0.12
0.647	3.022	0	1	-0.09	4.14
0.792	3.125	0	1	0.10	32.72
0.564	3.109	1	0	19.17	-0.12
0.206	3.064	1	1	2.79	3.92
0.406	3.098	1	1	4.75	1.96
0.364	3.099	0	1	-0.01	3.80
0.618	3.088	1	0	0.64	0.12
0.658	3.113	1	1	13.11	0.70
0.336	3.080	1	0	0.83	-0.06
0.470	3.122	0	1	-0.01	2.84
0.878	3.137	1	0	23.59	0.04
0.859	3.105	0	0	-0.12	0.09
0.220	3.117	1	0	4.06	0.01
0.955	3.066	0	1	0.03	23.49
0.808	3.191	1	0	4.86	-0.10
0.601	3.181	0	0	0.11	-0.14
0.483	3.119	0	1	-0.16	0.76
0.964	3.116	0	0	-0.02	-0.22
0.418	3.134	0	1	-0.17	7.66
0.704	3.099	1	1	21.77	14.13
0.670	3.081	0	1	-0.13	9.48
